x,Curve1
-85.029,-97.8396
-84.426,-92.0712
-84.128,-94.0723
-83.299,-91.2244
-81.597,-90.0375
-80.961,-88.6948
-80.594,-81.3423
-80.35,-80.1707
-79.281,-74.7315
-79.258,-73.4787
-77.494,-72.7087
-75.533,-71.8532
-74.531,-70.1726
-73.294,-61.6419
-72.771,-59.5488
-72.041,-56.0338
-71.406,-54.6911
-70.192,-54.4279
-69.187,-54.1669
-68.403,-53.8247
-66.676,-52.8045
-64.876,-43.8505
-64.561,-41.7595
-64.482,-45.099
-63.938,-40.3334
-63.449,-39.4097
-63.439,-38.0735
-61.749,-36.8032
-59.91,-36.5335
-58.868,-36.5226
-57.337,-35.5881
-56.652,-34.5788
-54.13,-24.8657
-53.889,-22.2744
-53.204,-21.2652
-52.373,-19.8369
-51.934,-18.5797
-49.028,-18.4658
-46.747,-18.3585
-45.621,-17.5117
-44.323,-16.4126
-41.444,-7.6977
-40.699,-5.6858
-40.126,-3.9262
-39.294,-2.4979
-37.997,-1.3987
-37.274,-0.6396
-35.068,-0.032
-31.304,-0.0762
-2.109,0.145
31.954,-0.084
33.376,0.1814
35.227,0.3677
35.766,0.9579
41.662,9.0361
42.372,9.8786
43.278,10.8067
45.526,15.3395
45.904,17.0136
46.04,16.0965
47.067,17.6103
48.048,18.0381
53.259,18.0925
55.135,18.1121
55.906,18.5376
57.336,21.5588
57.423,20.9752
57.579,22.7305
59.18,26.004
59.227,27.0901
62.123,32.8823
62.354,34.1373
62.831,35.1444
63.774,35.8223
63.908,36.3247
65.563,36.4255
67.022,36.4407
68.432,36.7895
68.995,37.2129
69.067,38.1322
69.581,38.8892
75.294,53.8131
75.624,54.4011
77.254,54.6686
78.063,54.8441
78.652,55.1007
78.944,55.9389
85.266,73.7919
85.402,72.8748
86.442,74.3052
87.69,75.7379
